DateTime,ADATUNCO_GAGE_HT,ADATUNCO_DISCHRG
2018-09-19 00,2.29,221
2018-09-19 01,2.29,220.5
2018-09-19 02,2.29,221
2018-09-19 03,2.29,221
2018-09-19 04,2.29,221
2018-09-19 05,2.29,221
2018-09-19 06,2.29,221
2018-09-19 07,2.29,221
2018-09-19 08,2.3,221.75
2018-09-19 09,2.29,221.5
2018-09-19 10,2.29,221.25
2018-09-19 11,2.29,221.5
2018-09-19 12,2.29,221
2018-09-19 13,2.29,220.5
2018-09-19 14,2.29,220.5
2018-09-19 15,2.29,220.5
2018-09-19 16,2.29,220
2018-09-19 17,2.28,219.5
2018-09-19 18,2.28,219
2018-09-19 19,2.28,219
2018-09-19 20,2.28,219
2018-09-19 21,2.28,219
2018-09-19 22,2.28,219
2018-09-19 23,2.28,218.75
2018-09-20 00,2.28,219
2018-09-20 01,2.28,218.75
2018-09-20 02,2.28,219
2018-09-20 03,2.28,219
2018-09-20 04,2.29,220
2018-09-20 05,2.29,220.5
2018-09-20 06,2.29,221
2018-09-20 07,2.29,221
2018-09-20 08,2.29,221.25
2018-09-20 09,2.3,221.75
2018-09-20 10,2.29,221.5
2018-09-20 11,2.3,221.75
2018-09-20 12,2.29,221.5
2018-09-20 13,2.29,221
2018-09-20 14,2.29,221
2018-09-20 15,2.29,221
2018-09-20 16,2.29,220.5
2018-09-20 17,2.29,221
2018-09-20 18,2.29,220.5
2018-09-20 19,2.28,219
2018-09-20 20,2.28,219
2018-09-20 21,2.28,219
2018-09-20 22,2.27,218.5
2018-09-20 23,2.28,218.75
2018-09-21 00,2.28,218.75
2018-09-21 01,2.09,191.25
2018-09-21 02,1.43,105.43
2018-09-21 03,1.26,85.88
2018-09-21 04,1.25,84.8
2018-09-21 05,1.25,84.8
2018-09-21 06,1.25,84.8
2018-09-21 07,1.25,84.8
2018-09-21 08,1.25,84.8
2018-09-21 09,1.25,85.08
2018-09-21 10,1.25,85.08
2018-09-21 11,1.25,84.8
2018-09-21 12,1.25,84.8
2018-09-21 13,1.25,84.8
2018-09-21 14,1.25,84.8
2018-09-21 15,1.25,84.8
2018-09-21 16,1.25,84.8
2018-09-21 17,1.25,84.8
2018-09-21 18,1.25,84.8
2018-09-21 19,1.25,84.8
2018-09-21 20,1.25,84.8
2018-09-21 21,1.25,84.8
2018-09-21 22,1.25,84.8
2018-09-21 23,1.25,84.8
2018-09-22 00,1.25,84.8
2018-09-22 01,1.25,84.8
2018-09-22 02,1.22,81.1
2018-09-22 03,1.2,79.5
2018-09-22 04,1.2,79.5
2018-09-22 05,1.2,79.5
2018-09-22 06,1.2,79.5
2018-09-22 07,1.2,79.5
2018-09-22 08,1.2,79.5
2018-09-22 09,1.2,79.5
2018-09-22 10,1.2,79.5
2018-09-22 11,1.2,79.5
2018-09-22 12,1.2,79.5
2018-09-22 13,1.2,79.5
2018-09-22 14,1.2,79.5
2018-09-22 15,1.2,79.5
2018-09-22 16,1.2,79.5
2018-09-22 17,1.2,79.5
2018-09-22 18,1.2,79.5
2018-09-22 19,1.2,79.5
2018-09-22 20,1.2,79.5
2018-09-22 21,1.2,79.5
2018-09-22 22,1.2,79.5
2018-09-22 23,1.2,79.5
2018-09-23 00,1.2,79.5
2018-09-23 01,1.2,79.5
2018-09-23 02,1.2,79.5
2018-09-23 03,1.22,81.38
2018-09-23 04,1.23,82.7
2018-09-23 05,1.23,82.7
2018-09-23 06,1.23,82.7
2018-09-23 07,1.23,82.7
2018-09-23 08,1.23,82.7
2018-09-23 09,1.23,82.7
2018-09-23 10,1.23,82.7
2018-09-23 11,1.24,83.53
2018-09-23 12,1.22,81.88
2018-09-23 13,1.22,81.6
2018-09-23 14,1.22,81.6
2018-09-23 15,1.22,81.6
2018-09-23 16,1.22,81.35
2018-09-23 17,1.22,81.6
2018-09-23 18,1.22,81.6
2018-09-23 19,1.22,81.6
2018-09-23 20,1.22,81.6
2018-09-23 21,1.22,81.35
2018-09-23 22,1.22,81.6
2018-09-23 23,1.22,81.6
2018-09-24 00,1.22,81.6
2018-09-24 01,1.22,81.6
2018-09-24 02,1.28,88.35
2018-09-24 03,1.38,99.22
2018-09-24 04,1.39,100
2018-09-24 05,1.39,100
2018-09-24 06,1.39,100
2018-09-24 07,1.4,100.5
2018-09-24 08,1.4,100.5
2018-09-24 09,1.4,100.75
2018-09-24 10,1.4,100.5
2018-09-24 11,1.4,100.5
2018-09-24 12,1.4,100.5
2018-09-24 13,1.39,100
2018-09-24 14,1.39,100
2018-09-24 15,1.39,100
2018-09-24 16,1.39,100
2018-09-24 17,1.39,100
2018-09-24 18,1.39,100.25
2018-09-24 19,1.39,100
2018-09-24 20,1.39,100
2018-09-24 21,1.39,100
2018-09-24 22,1.39,100
2018-09-24 23,1.39,100
2018-09-25 00,1.39,100
2018-09-25 01,1.39,100
2018-09-25 02,1.39,100
2018-09-25 03,1.39,100
2018-09-25 04,1.39,100
2018-09-25 05,1.39,100
2018-09-25 06,1.39,100
2018-09-25 07,1.39,100.25
2018-09-25 08,1.39,100
2018-09-25 09,1.39,100
2018-09-25 10,1.39,100
2018-09-25 11,1.39,100
2018-09-25 12,1.39,100
2018-09-25 13,1.39,100
2018-09-25 14,1.39,100
2018-09-25 15,1.39,100
2018-09-25 16,1.39,100
2018-09-25 17,1.39,100
2018-09-25 18,1.39,100
2018-09-25 19,1.39,100
2018-09-25 20,1.39,100
2018-09-25 21,1.39,99.75
2018-09-25 22,1.39,99.75
2018-09-25 23,1.38,99.25
2018-09-26 00,1.38,99.25
2018-09-26 01,1.39,100
2018-09-26 02,1.39,100
2018-09-26 03,1.49,112.75
2018-09-26 04,1.57,122
2018-09-26 05,1.58,122.75
2018-09-26 06,1.58,123
2018-09-26 07,1.58,123
2018-09-26 08,1.58,123
2018-09-26 09,1.58,123
2018-09-26 10,1.58,123
2018-09-26 11,1.58,123
2018-09-26 12,1.58,123
2018-09-26 13,1.58,123
2018-09-26 14,1.58,123
2018-09-26 15,1.58,123
2018-09-26 16,1.58,122.75
2018-09-26 17,1.58,123
2018-09-26 18,1.58,122.5
2018-09-26 19,1.58,122.5
2018-09-26 20,1.58,122.75
2018-09-26 21,1.57,122
2018-09-26 22,1.57,122.25
2018-09-26 23,1.57,122.25
2018-09-27 00,1.57,122.25
2018-09-27 01,1.59,123.5
2018-09-27 02,1.59,124
2018-09-27 03,1.6,124.5
2018-09-27 04,1.6,124.5
2018-09-27 05,1.6,124.75
2018-09-27 06,1.6,124.75
2018-09-27 07,1.6,124.75
2018-09-27 08,1.6,125
2018-09-27 09,1.6,124.75
2018-09-27 10,1.6,125
2018-09-27 11,1.6,125
2018-09-27 12,1.6,125
2018-09-27 13,1.6,125
2018-09-27 14,1.6,125
2018-09-27 15,1.6,124.75
2018-09-27 16,1.59,124.25
2018-09-27 17,1.6,124.5
2018-09-27 18,1.59,124
2018-09-27 19,1.59,124
2018-09-27 20,1.59,124
2018-09-27 21,1.59,124
2018-09-27 22,1.59,124
2018-09-27 23,1.59,124
2018-09-28 00,1.59,124
2018-09-28 01,1.59,124
2018-09-28 02,1.59,124
2018-09-28 03,1.42,104.2
2018-09-28 04,1.05,64.3
